Rewards,Length
326,173
311,142
334,157
390,174
311,131
386,177
356,148
363,195
346,162
319,137
341,168
325,140
332,170
359,138
257,131
351,184
332,166
339,146
299,129
395,187
368,165
331,158
367,188
351,150
377,183
375,165
385,179
305,147
360,165
346,156
325,134
301,139
308,130
326,145
366,148
345,160
370,195
336,144
310,132
365,162
368,167
350,165
353,133
341,164
379,162
361,175
350,172
375,208
370,179
376,173
347,166
344,166
390,174
353,167
353,158
347,153
366,180
340,164
362,158
383,166
300,148
363,161
389,169
326,149
373,173
323,141
326,160
367,176
312,147
364,143
340,177
366,155
319,156
325,162
355,171
372,171
365,151
375,151
383,163
338,163
329,139
322,174
381,185
330,139
338,141
365,175
311,146
353,176
331,153
309,139
369,186
373,185
383,166
342,136
358,187
393,191
327,152
350,170
323,149
296,137
406,168
351,163
384,190
343,160
306,145
318,149
359,188
369,183
342,165
342,146
338,163
334,155
379,167
310,147
344,167
368,186
337,170
349,170
373,155
366,175
329,162
371,171
336,148
330,161
347,211
335,142
340,158
339,146
329,152
354,181
351,180
340,169
318,143
340,151
333,145
374,169
312,132
370,164
305,164
340,160
357,147
347,165
371,164
279,133
342,161
382,181
354,189
389,176
333,150
293,162
374,166
372,176
348,151
301,155
357,144
349,138
348,137
357,163
322,153
374,168
390,174
382,167
369,165
348,151
347,176
337,197
331,155
335,148
372,186
389,173
344,164
369,141
367,166
328,178
336,161
360,175
360,150
351,159
286,132
369,156
381,167
351,156
355,169
380,158
336,161
336,170
328,137
322,155
344,148
356,164
365,174
375,156
319,150
361,151
365,197
358,184
356,161
345,153
348,188
340,162
350,156
302,138
338,160
357,173
325,141
335,122
305,139
335,148
363,174
354,148
349,163
343,145
375,181
333,147
375,148
339,167
347,161
326,173
376,191
352,183
360,160
358,182
323,168
319,141
332,158
372,167
352,147
351,153
333,170
336,158
368,166
391,174
383,203
344,154
359,155
349,164
392,171
367,166
308,134
369,164
355,171
387,198
339,146
385,161
336,160
346,144
315,146
354,146
336,130
354,165
321,124
373,194
324,149
343,153
375,166
330,146
364,165
363,166
351,165
311,141
360,176
338,148
366,166
334,173
391,174
365,158
375,153
353,174
312,144
347,158
343,137
347,158
393,168
337,149
349,161
314,151
357,155
330,175
342,152
326,157
337,160
377,176
365,167
321,152
290,128
337,163
345,151
355,162
373,178
344,163
334,165
367,186
377,142
359,156
379,157
368,193
352,163
349,178
333,139
329,126
332,164
366,143
388,167
313,143
363,147
378,174
368,147
326,153
359,166
360,159
416,208
332,157
358,177
335,155
304,128
331,157
354,155
348,137
357,152
342,162
365,170
373,181
368,155
360,171
347,179
344,144
362,164
383,170
339,165
332,145
328,154
346,133
366,158
328,154
364,163
375,176
387,158
383,180
364,141
339,176
319,155
343,157
317,168
354,151
360,168
363,192
333,139
338,155
310,144
383,189
385,182
323,154
377,197
345,151
340,175
355,141
320,148
330,159
344,140
344,145
371,161
254,134
326,164
365,174
340,147
357,157
355,160
350,153
352,167
368,159
332,141
339,169
348,168
335,136
392,165
354,146
363,159
323,150
335,144
354,162
336,155
388,183
408,190
355,162
385,206
317,158
367,161
381,171
352,150
356,182
370,181
394,169
358,172
310,148
360,175
365,169
319,152
395,164
355,174
338,154
356,159
359,159
346,165
305,147
350,155
314,154
327,150
367,168
359,160
328,161
329,135
337,153
355,156
313,155
347,152
349,157
347,149
413,180
324,145
351,163
309,163
366,167
366,155
397,169
378,161
324,153
375,161
293,120
353,164
320,150
335,153
341,140
322,149
366,168
354,181
388,164
331,159
369,163
357,171
360,141
342,140
353,165
340,158
393,189
361,164
345,158
416,191
391,162
362,155
314,155
379,167
356,163
339,159
352,159
388,187
340,159
319,170
392,167
370,170
350,149
357,162
345,157
341,142
339,150
356,188
373,167
333,149
367,180
345,166
351,178
312,152
310,139
369,159
375,155
352,164
368,180
350,149
345,147
363,161
352,169
351,159
390,156
347,176
336,139
356,150
347,189
376,176
355,157
381,176
355,173
328,170
352,179
329,173
366,173
356,169
329,162
346,155
314,144
358,165
339,143
333,163
342,147
398,165
375,159
366,171
344,174
370,167
405,179
347,174
372,155
332,146
329,143
353,166
361,160
337,162
378,158
321,163
341,137
374,175
328,138
292,142
345,165
373,151
312,158
370,178
331,151
324,168
339,167
362,176
359,157
320,140
349,148
368,161
338,162
326,139
381,174
343,144
323,163
342,156
326,137
350,136
366,164
378,176
319,156
372,152
353,170
360,162
363,167
357,162
337,153
322,139
336,156
317,138
360,167
357,175
363,155
325,153
378,172
337,147
318,158
355,157
344,158
330,175
337,176
321,151
313,160
379,169
340,169
386,137
366,180
318,151
373,179
345,165
378,171
353,182
325,170
320,145
358,174
365,166
358,152
382,169
316,138
329,178
393,179
359,176
338,161
324,151
339,158
366,144
315,116
357,178
342,151
375,201
348,149
333,133
333,167
351,165
308,136
382,175
387,198
346,152
358,144
317,160
361,143
375,178
