Rewards,Length
324,173
313,142
329,157
372,174
289,131
386,177
328,148
337,195
326,162
310,137
344,168
339,140
342,170
358,138
290,131
334,184
377,166
329,146
296,129
381,187
344,165
319,158
392,188
323,150
355,183
351,165
407,179
305,147
341,165
344,156
306,134
306,139
309,130
334,145
328,148
318,160
349,195
322,144
321,132
345,162
327,167
350,165
329,133
331,164
359,162
353,175
344,172
354,208
364,179
342,173
349,166
333,166
364,174
372,167
333,158
310,153
335,180
328,164
360,158
360,166
289,148
348,161
358,169
292,149
356,173
326,141
323,160
335,176
308,147
344,143
329,177
370,155
317,156
309,162
355,171
371,171
360,151
347,151
388,163
368,163
326,139
307,174
364,185
311,139
313,141
359,175
303,146
321,176
331,153
300,139
363,186
354,185
340,166
336,136
338,187
389,191
314,152
356,170
333,149
310,137
381,168
341,163
380,190
339,160
301,145
297,149
379,188
369,183
342,165
331,146
320,163
324,155
364,167
329,147
347,167
370,186
341,170
351,170
363,155
369,175
352,162
347,171
335,148
315,161
406,211
350,142
351,158
336,146
324,152
319,181
341,180
334,169
322,143
325,151
321,145
349,169
299,132
388,164
348,164
328,160
345,147
388,165
371,164
283,133
348,161
366,181
362,189
378,176
332,150
313,162
359,166
341,176
330,151
303,155
319,144
336,138
335,137
348,163
319,153
360,168
363,174
361,167
354,165
343,151
346,176
343,197
341,155
332,148
347,186
356,173
323,164
331,141
348,166
351,178
324,161
362,175
363,150
341,159
300,132
332,156
336,167
344,156
339,169
350,158
346,161
346,170
319,137
326,155
344,148
351,164
343,174
352,156
324,150
343,151
373,197
365,184
353,161
320,153
352,188
343,162
345,156
292,138
340,160
349,173
310,141
310,122
315,139
342,148
351,174
335,148
344,163
324,145
342,181
316,147
338,148
322,167
318,161
322,173
373,191
314,183
339,160
340,182
321,168
306,141
343,158
361,167
337,147
320,153
362,170
347,158
354,166
352,174
394,203
351,154
363,155
343,164
336,171
334,166
305,134
356,164
350,171
395,198
336,146
377,161
335,160
337,144
304,146
355,146
334,130
324,165
305,124
380,194
301,149
317,153
359,166
336,146
354,165
331,166
327,165
319,141
327,176
326,148
352,166
335,173
374,174
319,158
349,153
355,174
312,144
352,158
321,137
315,158
352,168
345,149
318,161
322,151
348,155
303,175
327,152
352,157
319,160
367,176
352,167
313,152
297,128
332,163
324,151
338,162
333,178
333,163
350,165
361,186
369,142
341,156
348,157
376,193
340,163
355,178
321,139
308,126
312,164
345,143
391,167
303,143
352,147
340,174
342,147
319,153
346,166
341,159
363,208
300,157
357,177
317,155
321,128
328,157
334,155
328,137
342,152
323,162
347,170
363,181
355,155
352,171
327,179
330,144
344,164
350,170
336,165
320,145
335,154
331,133
364,158
345,154
355,163
367,176
350,158
359,180
334,141
345,176
299,155
318,157
317,168
316,151
360,168
365,192
321,139
337,155
313,144
356,189
368,182
327,154
384,197
345,151
337,175
353,141
300,148
317,159
330,140
326,145
357,161
305,134
330,164
380,174
335,147
349,157
344,160
344,153
364,167
372,159
321,141
339,169
356,168
318,136
353,165
331,146
358,159
313,150
315,144
325,162
322,155
342,183
357,190
351,162
367,206
302,158
348,161
367,171
350,150
351,182
374,181
359,169
357,172
362,148
364,175
369,169
345,152
344,164
326,174
323,154
319,159
347,159
327,165
305,147
319,155
323,154
319,150
351,168
351,160
310,161
319,135
347,153
344,156
324,155
331,152
346,157
312,149
411,180
311,145
350,163
314,163
319,167
329,155
354,169
365,161
336,153
369,161
302,120
354,164
310,150
322,153
328,140
324,149
339,168
360,181
373,164
324,159
323,163
360,171
337,141
342,140
328,165
340,158
360,189
348,164
339,158
398,191
369,162
349,155
322,155
358,167
332,163
319,159
340,159
363,187
303,159
309,170
374,167
347,170
316,149
345,162
355,157
319,142
345,150
347,188
359,167
332,149
336,180
339,166
352,178
321,152
291,139
