Rewards,Length
253,173
259,142
262,157
308,174
243,131
289,177
260,148
297,195
254,162
269,137
286,168
288,140
270,170
291,138
236,131
261,184
262,166
275,146
216,129
326,187
291,165
248,158
314,188
233,150
317,183
285,165
311,179
245,147
285,165
266,156
273,134
238,139
237,130
283,145
268,148
274,160
287,195
253,144
257,132
299,162
269,167
283,165
232,133
288,164
284,162
300,175
285,172
315,208
302,179
304,173
291,166
282,166
320,174
310,167
261,158
278,153
302,180
254,164
284,158
288,166
209,148
277,161
299,169
261,149
280,173
253,141
255,160
301,176
243,147
277,143
268,177
270,155
262,156
263,162
283,171
305,171
290,151
287,151
305,163
289,163
250,139
251,174
331,185
257,139
262,141
288,175
240,146
272,176
273,153
242,139
276,186
270,185
301,166
255,136
278,187
291,191
241,152
288,170
249,149
241,137
312,168
267,163
316,190
258,160
252,145
254,149
293,188
273,183
274,165
287,146
251,163
265,155
309,167
246,147
265,167
308,186
271,170
301,170
285,155
275,175
315,162
293,171
244,148
277,161
337,211
279,142
269,158
262,146
274,152
265,181
282,180
266,169
267,143
269,151
258,145
280,169
243,132
302,164
277,164
291,160
272,147
295,165
294,164
233,133
271,161
309,181
297,189
295,176
263,150
246,162
274,166
297,176
278,151
257,155
267,144
261,138
231,137
284,163
272,153
298,168
298,174
288,167
284,165
281,151
298,176
296,197
284,155
253,148
273,186
303,173
249,164
288,141
277,166
292,178
281,161
311,175
280,150
281,159
241,132
282,156
293,167
280,156
258,169
291,158
271,161
273,170
251,137
269,155
264,148
284,164
278,174
290,156
251,150
285,151
305,197
306,184
281,161
280,153
291,188
255,162
255,156
250,138
281,160
296,173
235,141
268,122
236,139
238,148
284,174
268,148
283,163
261,145
287,181
266,147
287,148
257,167
264,161
278,173
294,191
258,183
290,160
300,182
264,168
255,141
267,158
299,167
268,147
263,153
280,170
290,158
303,166
291,174
334,203
262,154
293,155
276,164
304,171
295,166
240,134
293,164
285,171
319,198
286,146
307,161
289,160
264,144
233,146
282,146
270,130
297,165
